___ du bitte mal das Fenster ___? Es ist so warm hier drin. (to open)	machst auf	german verb separable a2
Sie hat die Tür ganz langsam ___. (opened — past participle)	aufgemacht	german verb separable a2
Ich weiß nicht, wie ich diese Flasche ohne Öffner ___ soll. (to open)	aufmachen	german verb separable a2
___ bitte die Tür ___, es zieht! (close — imperative)	Mach zu	german verb separable a2
Der Bäcker hat gestern schon um vier Uhr ___. (closed — past participle)	zugemacht	german verb separable a2
Ich gehe erst ins Bett, wenn ich alle Fenster ___. (to close)	zumache	german verb separable a2
Es wird dunkel — ich ___ mal das Licht ___. (to turn on)	mache an	german verb separable a2
Wer hat denn den Fernseher ___? (turned on — past participle)	angemacht	german verb separable a2
Kannst du bitte die Heizung ___? Mir ist kalt. (to turn on)	anmachen	german verb separable a2
___ du bitte den Computer ___, bevor du gehst? (to turn off)	machst aus	german verb separable a2
Vor dem Schlafengehen habe ich alle Lichter ___. (turned off — past participle)	ausgemacht	german verb separable a2
Es ___ mir nichts ___, wenn du eine halbe Stunde später kommst. (to matter/mind)	macht aus	german verb separable a2
