word,added_date,week,file
der Umstand,2026-05-10,2026-W19,week_2026-W19/umstand_20260510.csv
berücksichtigen,2026-05-10,2026-W19,week_2026-W19/berücksichtigen_20260510.csv
die Anforderung,2026-05-10,2026-W19,week_2026-W19/anforderung_20260510.csv
die Liebenswürdigkeit,2026-05-10,2026-W19,week_2026-W19/liebenswürdigkeit_20260510.csv
versehen,2026-05-10,2026-W19,week_2026-W19/versehen_20260510.csv
aufwenden,2026-05-11,2026-W20,week_2026-W20/aufwenden_20260511.csv
feststellen,2026-05-11,2026-W20,week_2026-W20/feststellen_20260511.csv
angenehm,2026-05-11,2026-W20,week_2026-W20/angenehm_20260511.csv
starren,2026-05-11,2026-W20,week_2026-W20/starren_20260511.csv
verdächtig,2026-05-11,2026-W20,week_2026-W20/verdächtig_20260511.csv
im Begriff sein,2026-05-11,2026-W20,week_2026-W20/im_begriff_sein_20260511.csv
antreten,2026-05-11,2026-W20,week_2026-W20/antreten_20260511.csv
eifrig,2026-05-11,2026-W20,week_2026-W20/eifrig_20260511.csv
sich bemühen,2026-05-11,2026-W20,week_2026-W20/sich_bemühen_20260511.csv
soeben,2026-05-11,2026-W20,week_2026-W20/soeben_20260511.csv
gönnen,2026-05-11,2026-W20,week_2026-W20/gönnen_20260511.csv
widrig,2026-05-12,2026-W20,week_2026-W20/widrig_20260512.csv
das Gebiet,2026-05-12,2026-W20,week_2026-W20/gebiet_20260512.csv
die Gegend,2026-05-12,2026-W20,week_2026-W20/gegend_20260512.csv
eintreten,2026-05-12,2026-W20,week_2026-W20/eintreten_20260512.csv
betrüblich,2026-05-12,2026-W20,week_2026-W20/betrüblich_20260512.csv
der Misserfolg,2026-05-12,2026-W20,week_2026-W20/misserfolg_20260512.csv
immerhin,2026-05-12,2026-W20,week_2026-W20/immerhin_20260512.csv
vorübergehend,2026-05-12,2026-W20,week_2026-W20/vorübergehend_20260512.csv
die Vertretung,2026-05-12,2026-W20,week_2026-W20/vertretung_20260512.csv
lästig,2026-05-12,2026-W20,week_2026-W20/lästig_20260512.csv
gespenstig,2026-05-12,2026-W20,week_2026-W20/gespenstig_20260512.csv
ausrutschen,2026-05-12,2026-W20,week_2026-W20/ausrutschen_20260512.csv
der Abstecher,2026-05-12,2026-W20,week_2026-W20/abstecher_20260512.csv
beschließen,2026-05-12,2026-W20,week_2026-W20/beschließen_20260512.csv
verschieben,2026-05-12,2026-W20,week_2026-W20/verschieben_20260512.csv
reizen,2026-05-12,2026-W20,week_2026-W20/reizen_20260512.csv
schonen,2026-05-12,2026-W20,week_2026-W20/schonen_20260512.csv
in Bezug auf,2026-05-12,2026-W20,week_2026-W20/in_bezug_auf_20260512.csv
empfindlich,2026-05-12,2026-W20,week_2026-W20/empfindlich_20260512.csv
schleunig,2026-05-10,2026-W19,week_2026-W19/schleunig_20260507.csv
verlangen,2026-05-10,2026-W19,week_2026-W19/verlangen_20260507.csv
Verpflegung,2026-05-10,2026-W19,week_2026-W19/Verpflegung_20260507.csv
Vorrat,2026-05-10,2026-W19,week_2026-W19/Vorrat_20260508.csv
gemäß,2026-05-14,2026-W20,week_2026-W20/gemäß_20260514.csv
die Abwechslung,2026-05-14,2026-W20,week_2026-W20/abwechslung_20260514.csv
immer,2026-05-14,2026-W20,week_2026-W20/immer_20260514.csv
durchaus,2026-05-14,2026-W20,week_2026-W20/durchaus_20260514.csv
bedauerlich,2026-05-14,2026-W20,week_2026-W20/bedauerlich_20260514.csv
hervorheben,2026-06-10,2026-W24,week_2026-W24/hervorheben_20260610.csv
lobend,2026-06-10,2026-W24,week_2026-W24/lobend_20260610.csv
vermuten,2026-06-10,2026-W24,week_2026-W24/vermuten_20260610.csv
die Reinlichkeit,2026-06-10,2026-W24,week_2026-W24/reinlichkeit_20260610.csv
abfällig,2026-06-10,2026-W24,week_2026-W24/abfällig_20260610.csv
edel,2026-08-03,2026-W32,week_2026-W32/edel_20260803.csv
Ungerechtigkeit widerfahren lassen,2026-08-05,2026-W32,week_2026-W32/ungerechtigkeit_widerfahren_lassen_20260805.csv
entheben,2026-08-06,2026-W32,week_2026-W32/entheben_20260806.csv
überlegen,2026-08-23,2026-W34,week_2026-W34/überlegen_20260823.csv
das Gefecht,2026-08-23,2026-W34,week_2026-W34/gefecht_20260823.csv
derartig,2026-08-23,2026-W34,week_2026-W34/derartig_20260823.csv
vermeiden,2026-08-23,2026-W34,week_2026-W34/vermeiden_20260823.csv
lediglich,2026-08-23,2026-W34,week_2026-W34/lediglich_20260823.csv
die Verwendung,2026-08-23,2026-W34,week_2026-W34/verwendung_20260823.csv
verbringen,2026-08-23,2026-W34,week_2026-W34/verbringen_20260823.csv
erfordern,2026-08-23,2026-W34,week_2026-W34/erfordern_20260823.csv
bilden,2026-08-23,2026-W34,week_2026-W34/bilden_20260823.csv
rührend,2026-08-23,2026-W34,week_2026-W34/rührend_20260823.csv
erstaunlich,2026-08-23,2026-W34,week_2026-W34/erstaunlich_20260823.csv
die Leistung,2026-08-23,2026-W34,week_2026-W34/leistung_20260823.csv
erzielen,2026-08-23,2026-W34,week_2026-W34/erzielen_20260823.csv
fein,2026-08-23,2026-W34,week_2026-W34/fein_20260823.csv
